stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,211.6300048828125,14,202.05999755859375,-133.9801025390625,2021-01-05,2021-01-26
TRV,128.22796630859375,22,132.29995727539062,89.58380126953125,2021-01-27,2021-02-04
UNH,306.4792785644531,9,313.7608642578125,65.53427124023438,2021-02-05,2021-02-26
MCD,191.28305053710938,15,202.49826049804688,168.2281494140625,2021-03-01,2021-03-15
BA,255.2100067138672,12,263.5899963378906,100.55987548828125,2021-03-16,2021-03-17
PG,117.26947021484375,28,120.82310485839844,99.50177001953125,2021-03-18,2021-03-23
AMGN,218.1487274169922,15,224.71620178222656,98.51211547851562,2021-03-24,2021-03-26
WMT,42.98041534423828,81,44.33155822753906,109.44257354736328,2021-03-31,2021-04-06
CAT,213.80848693847656,16,216.53671264648438,43.651611328125,2021-04-07,2021-04-28
WMT,44.18283462524414,82,45.24264907836914,86.90478515625,2021-04-29,2021-05-20
UNH,390.1397399902344,9,377.11712646484375,-117.20352172851562,2021-05-21,2021-06-11
CVX,93.77178192138672,38,89.48139190673828,-163.03482055664062,2021-06-14,2021-06-18
MMM,140.4826202392578,24,143.91534423828125,82.3853759765625,2021-06-21,2021-07-12
CSCO,48.252532958984375,73,49.98100662231445,126.1785774230957,2021-07-13,2021-07-23
AXP,165.5181427001953,22,158.9399871826172,-144.71942138671875,2021-07-26,2021-08-16
BA,212.16000366210938,16,219.39999389648438,115.83984375,2021-08-19,2021-08-23
TRV,149.3040008544922,24,146.12681579589844,-76.25244140625,2021-08-24,2021-09-14
MRK,66.70092010498047,53,68.78961944580078,110.70106506347656,2021-09-15,2021-09-29
DIS,167.84609985351562,21,174.63255310058594,142.51551818847656,2021-09-30,2021-10-01
GS,353.8607482910156,10,372.4430847167969,185.8233642578125,2021-10-05,2021-10-15
TRV,142.8837127685547,27,148.3138427734375,146.61351013183594,2021-10-18,2021-10-20
MCD,224.1791229248047,18,232.70425415039062,153.45236206054688,2021-10-21,2021-11-01
PG,133.7600555419922,32,138.75540161132812,159.85107421875,2021-11-02,2021-11-23
MMM,128.312744140625,34,124.306640625,-136.20751953125,2021-11-26,2021-11-30
KO,47.784141540527344,90,50.16878890991211,214.6182632446289,2021-12-01,2021-12-06
VZ,42.056724548339844,107,43.67970657348633,173.65907669067383,2021-12-07,2021-12-16
BA,192.6300048828125,24,199.52000427246094,165.3599853515625,2021-12-17,2021-12-21
