stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,211.6300048828125,14,204.32000732421875,-102.3399658203125,2021-01-05,2021-01-15
BA,210.7100067138672,13,203.36000061035156,-95.55007934570312,2021-01-19,2021-01-25
CAT,173.7211151123047,16,167.61521911621094,-97.6943359375,2021-01-26,2021-01-27
MCD,188.80784606933594,14,193.15333557128906,60.83685302734375,2021-01-28,2021-02-08
UNH,311.31475830078125,8,306.54534912109375,-38.1552734375,2021-02-09,2021-02-19
JNJ,145.6379852294922,18,140.5545654296875,-91.50155639648438,2021-02-22,2021-03-03
DIS,186.55848693847656,14,200.32986450195312,192.79928588867188,2021-03-04,2021-03-08
CRM,210.5950927734375,13,211.2621307373047,8.671493530273438,2021-03-09,2021-03-19
MMM,135.35574340820312,20,139.83499145507812,89.5849609375,2021-03-22,2021-03-29
WMT,42.98041534423828,68,44.33155822753906,91.87771606445312,2021-03-31,2021-04-06
CAT,213.80848693847656,14,215.6457977294922,25.72235107421875,2021-04-07,2021-04-19
WMT,44.54990005493164,68,44.27143096923828,-18.935897827148438,2021-04-20,2021-04-30
CVX,90.54429626464844,33,93.48724365234375,97.11726379394531,2021-05-03,2021-05-05
DIS,180.36732482910156,17,172.34063720703125,-136.4536895751953,2021-05-06,2021-05-14
VZ,46.8874626159668,63,45.552215576171875,-84.12056350708008,2021-05-17,2021-05-27
WMT,45.1187629699707,64,44.759796142578125,-22.973876953125,2021-05-28,2021-06-07
MRK,65.17597961425781,44,68.54281616210938,148.14080810546875,2021-06-08,2021-06-10
CAT,205.72384643554688,14,195.23721313476562,-146.8128662109375,2021-06-11,2021-06-17
TRV,134.54466247558594,21,139.38699340820312,101.68894958496094,2021-06-18,2021-06-24
HD,287.87396240234375,10,293.0415954589844,51.67633056640625,2021-06-25,2021-07-06
AMGN,217.66896057128906,13,220.81021118164062,40.83625793457031,2021-07-07,2021-07-19
HON,213.76222229003906,14,217.60630798339844,53.81719970703125,2021-07-20,2021-07-30
VZ,45.63023376464844,68,45.53203201293945,-6.6777191162109375,2021-08-02,2021-08-12
WMT,47.676090240478516,65,47.96942138671875,19.066524505615234,2021-08-13,2021-08-23
TRV,149.3040008544922,21,147.93777465820312,-28.690750122070312,2021-08-24,2021-09-03
WBA,41.63283920288086,74,40.367530822753906,-93.63282012939453,2021-09-07,2021-09-10
WBA,40.14712905883789,75,39.559364318847656,-44.08235549926758,2021-09-13,2021-09-23
KO,48.85797119140625,60,48.04201889038086,-48.95713806152344,2021-09-24,2021-10-04
GS,353.8607482910156,8,372.4430847167969,148.65869140625,2021-10-05,2021-10-15
TRV,142.8837127685547,21,148.3138427734375,114.03273010253906,2021-10-18,2021-10-20
MCD,224.1791229248047,14,232.70425415039062,119.35183715820312,2021-10-21,2021-11-01
PG,133.7600555419922,24,136.08131408691406,55.710205078125,2021-11-02,2021-11-12
IBM,104.13035583496094,32,101.44976806640625,-85.77880859375,2021-11-15,2021-11-26
HD,375.3094787597656,8,381.04876708984375,45.914306640625,2021-11-29,2021-12-09
NKE,162.3437042236328,20,157.38868713378906,-99.100341796875,2021-12-10,2021-12-15
VZ,43.67970657348633,73,43.62173843383789,-4.2316741943359375,2021-12-16,2021-12-27
