stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
MMM,128.312744140625,33,124.30660247802734,-132.20267486572266,2021-11-26,2021-11-30
KO,47.78414535522461,87,48.48765563964844,61.20539474487305,2021-12-01,2021-12-02
WMT,43.84363555908203,96,44.31870651245117,45.6068115234375,2021-12-03,2021-12-06
VZ,42.056724548339844,101,41.80830764770508,-25.090106964111328,2021-12-07,2021-12-08
MCD,244.9759521484375,17,247.43191528320312,41.751373291015625,2021-12-09,2021-12-10
AMGN,192.2442626953125,22,194.3814239501953,47.017547607421875,2021-12-13,2021-12-14
BA,195.42999267578125,22,190.7899932861328,-102.07998657226562,2021-12-15,2021-12-16
BA,192.6300048828125,21,188.47999572753906,-87.15019226074219,2021-12-17,2021-12-20
CRM,251.4337921142578,16,257.1583557128906,91.593017578125,2021-12-21,2021-12-27
NKE,162.07481384277344,26,160.8360595703125,-32.207611083984375,2021-12-29,2021-12-30
