stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
DIS,176.28948974609375,17,177.7182159423828,24.288345336914062,2021-01-04,2021-01-06
AAPL,128.020751953125,23,129.12571716308594,25.414199829101562,2021-01-07,2021-01-08
JNJ,142.5000762939453,21,141.39138793945312,-23.282455444335938,2021-01-11,2021-01-12
MCD,193.61891174316406,15,190.34153747558594,-49.160614013671875,2021-01-13,2021-01-14
DIS,170.09832763671875,17,172.28111267089844,37.10734558105469,2021-01-15,2021-01-20
BA,207.41000366210938,14,205.83999633789062,-21.9801025390625,2021-01-21,2021-01-22
KO,43.205963134765625,69,43.65768814086914,31.169025421142578,2021-01-25,2021-01-26
TRV,128.22792053222656,23,125.28651428222656,-67.65234375,2021-01-27,2021-01-29
KO,42.940250396728516,68,43.365394592285156,28.909805297851562,2021-02-01,2021-02-02
JNJ,143.510498046875,20,144.8427734375,26.6455078125,2021-02-03,2021-02-04
UNH,306.4792175292969,9,311.3147888183594,43.5201416015625,2021-02-05,2021-02-09
NKE,135.77943420410156,22,136.8087921142578,22.6458740234375,2021-02-10,2021-02-11
PG,116.28538513183594,26,117.05079650878906,19.90069580078125,2021-02-12,2021-02-17
AXP,122.52193450927734,25,125.59239196777344,76.76143646240234,2021-02-18,2021-02-19
JNJ,145.6379852294922,21,144.35140991210938,-27.018081665039062,2021-02-22,2021-02-23
JNJ,146.2858123779297,21,142.56993103027344,-78.03350830078125,2021-02-24,2021-02-26
MCD,191.2830352783203,16,189.05104064941406,-35.7119140625,2021-03-01,2021-03-03
DIS,186.55848693847656,16,188.50315856933594,31.11474609375,2021-03-04,2021-03-05
CRM,210.59507751464844,14,214.99554443359375,61.606536865234375,2021-03-09,2021-03-11
MCD,195.03981018066406,16,202.49827575683594,119.33544921875,2021-03-12,2021-03-15
BA,255.2100067138672,12,263.5899963378906,100.55987548828125,2021-03-16,2021-03-17
PG,117.26947784423828,28,116.64075469970703,-17.604248046875,2021-03-18,2021-03-19
MMM,135.35577392578125,24,134.54135131835938,-19.546142578125,2021-03-22,2021-03-23
AMGN,218.1487274169922,15,224.71620178222656,98.51211547851562,2021-03-24,2021-03-26
GS,296.3106689453125,11,302.0234680175781,62.840789794921875,2021-03-29,2021-03-30
WMT,42.98041534423828,80,42.91396713256836,-5.31585693359375,2021-03-31,2021-04-01
KO,47.16478729248047,73,47.50416564941406,24.774620056152344,2021-04-05,2021-04-06
CAT,213.80848693847656,16,212.82484436035156,-15.73828125,2021-04-07,2021-04-13
UNH,356.0192565917969,9,369.6484680175781,122.66290283203125,2021-04-14,2021-04-15
DIS,185.7945098876953,19,181.3594970703125,-84.26524353027344,2021-04-16,2021-04-20
DIS,181.677001953125,19,181.32972717285156,-6.5982208251953125,2021-04-21,2021-04-22
CAT,214.49530029296875,16,216.53668212890625,32.662109375,2021-04-23,2021-04-28
WMT,44.182830810546875,80,44.97074508666992,63.03314208984375,2021-04-29,2021-05-03
MCD,214.8065185546875,16,215.89036560058594,17.341552734375,2021-05-04,2021-05-05
DIS,180.36732482910156,20,183.39346313476562,60.52276611328125,2021-05-06,2021-05-07
WBA,44.16888427734375,83,43.471614837646484,-57.87336349487305,2021-05-10,2021-05-11
TRV,142.10198974609375,25,145.80819702148438,92.65518188476562,2021-05-12,2021-05-13
CRM,216.69801330566406,17,214.1094970703125,-44.00477600097656,2021-05-14,2021-05-17
UNH,388.9549255371094,9,388.1209411621094,-7.505859375,2021-05-18,2021-05-19
UNH,390.1396789550781,9,389.4952392578125,-5.799957275390625,2021-05-21,2021-05-24
AMGN,216.5771026611328,16,213.48956298828125,-49.400634765625,2021-05-25,2021-05-26
AMGN,210.5899200439453,17,212.94363403320312,40.01313781738281,2021-05-27,2021-05-28
HD,288.81939697265625,12,287.50677490234375,-15.75146484375,2021-06-01,2021-06-02
DIS,174.8607635498047,20,175.79339599609375,18.65264892578125,2021-06-03,2021-06-04
JNJ,149.23545837402344,24,147.92274475097656,-31.505126953125,2021-06-07,2021-06-08
MSFT,246.25656127929688,14,249.80099487304688,49.6220703125,2021-06-09,2021-06-10
CAT,205.7238311767578,17,204.14852905273438,-26.780136108398438,2021-06-11,2021-06-14
BA,246.5399932861328,14,242.27000427246094,-59.77984619140625,2021-06-15,2021-06-16
VZ,45.746437072753906,78,45.171871185302734,-44.816139221191406,2021-06-17,2021-06-18
MMM,140.4826202392578,25,138.43157958984375,-51.27601623535156,2021-06-21,2021-06-23
KO,48.94190979003906,71,48.878929138183594,-4.471626281738281,2021-06-24,2021-06-25
BA,239.9600067138672,14,235.75999450683594,-58.8001708984375,2021-06-28,2021-06-29
BA,239.55999755859375,14,236.67999267578125,-40.320068359375,2021-06-30,2021-07-02
IBM,113.38923645019531,29,114.23895263671875,24.641769409179688,2021-07-06,2021-07-07
CRM,244.71363830566406,13,243.97689819335938,-9.577621459960938,2021-07-08,2021-07-09
MRK,70.4122085571289,48,70.83893585205078,20.48291015625,2021-07-12,2021-07-16
HD,292.68365478515625,11,298.6315002441406,65.42630004882812,2021-07-19,2021-07-20
PG,127.64839172363281,27,127.15933990478516,-13.204399108886719,2021-07-21,2021-07-22
MMM,144.28231811523438,24,145.1315460205078,20.3814697265625,2021-07-23,2021-07-26
AMGN,218.9755859375,15,218.5907440185547,-5.7726287841796875,2021-07-27,2021-07-28
PG,128.70960998535156,27,131.24725341796875,68.51637268066406,2021-07-29,2021-07-30
VZ,45.63022994995117,77,45.31108474731445,-24.574180603027344,2021-08-02,2021-08-04
MRK,68.6325912475586,51,68.49640655517578,-6.9454193115234375,2021-08-05,2021-08-06
VZ,45.10649490356445,78,45.40109634399414,22.978912353515625,2021-08-09,2021-08-10
CRM,241.20916748046875,14,247.2921905517578,85.16232299804688,2021-08-11,2021-08-12
WMT,47.676090240478516,76,48.06507110595703,29.562545776367188,2021-08-13,2021-08-16
WBA,39.72330856323242,92,39.62630081176758,-8.924713134765625,2021-08-17,2021-08-18
BA,212.16000366210938,17,219.39999389648438,123.079833984375,2021-08-19,2021-08-23
TRV,149.30401611328125,25,151.10711669921875,45.0775146484375,2021-08-24,2021-08-25
UNH,396.5342712402344,9,395.9824523925781,-4.96636962890625,2021-08-26,2021-08-31
CVX,84.24468994140625,45,86.00509643554688,79.21829223632812,2021-09-01,2021-09-02
CRM,265.8995666503906,14,264.037841796875,-26.06414794921875,2021-09-03,2021-09-07
MMM,136.2469482421875,28,134.69512939453125,-43.450927734375,2021-09-08,2021-09-09
VZ,44.378177642822266,86,44.697330474853516,27.4471435546875,2021-09-10,2021-09-13
WBA,39.36345291137695,97,40.914466857910156,150.4483528137207,2021-09-14,2021-09-15
CSCO,51.88143539428711,77,51.447044372558594,-33.4481086730957,2021-09-16,2021-09-17
PG,131.85630798339844,30,133.05592346191406,35.98846435546875,2021-09-20,2021-09-23
KO,48.857967376708984,81,48.604122161865234,-20.56146240234375,2021-09-24,2021-09-27
MRK,67.16813659667969,59,68.78961944580078,95.66748809814453,2021-09-28,2021-09-29
DIS,167.84609985351562,24,174.63255310058594,162.8748779296875,2021-09-30,2021-10-01
MRK,76.1275405883789,55,74.75340270996094,-75.57758331298828,2021-10-04,2021-10-05
MRK,73.89228820800781,56,75.06490325927734,65.66644287109375,2021-10-06,2021-10-07
MMM,128.31387329101562,32,127.82804107666016,-15.546630859375,2021-10-08,2021-10-11
HON,200.28883361816406,21,201.45693969726562,24.530227661132812,2021-10-12,2021-10-13
JPM,150.2924041748047,28,153.17926025390625,80.83197021484375,2021-10-14,2021-10-15
TRV,142.88372802734375,30,145.2296142578125,70.3765869140625,2021-10-18,2021-10-19
TRV,148.31385803222656,29,149.71575927734375,40.65513610839844,2021-10-20,2021-10-21
IBM,105.68635559082031,41,105.4880142211914,-8.131996154785156,2021-10-22,2021-10-25
AXP,173.94683837890625,25,171.13986206054688,-70.17440795898438,2021-10-26,2021-10-27
UNH,434.7642517089844,10,439.56585693359375,48.01605224609375,2021-10-28,2021-10-29
CAT,193.53355407714844,22,195.17315673828125,36.071258544921875,2021-11-01,2021-11-02
TRV,149.77183532714844,29,146.26702880859375,-101.63938903808594,2021-11-03,2021-11-04
TRV,149.16432189941406,29,148.3231658935547,-24.393524169921875,2021-11-05,2021-11-08
TRV,147.10816955566406,29,147.8745574951172,22.225250244140625,2021-11-09,2021-11-10
AAPL,145.48683166503906,29,147.57266235351562,60.48908996582031,2021-11-11,2021-11-12
IBM,104.1303482055664,42,103.77117919921875,-15.085098266601562,2021-11-15,2021-11-16
IBM,103.4207763671875,42,102.1943588256836,-51.50953674316406,2021-11-17,2021-11-18
MMM,131.02491760253906,33,129.85523986816406,-38.599365234375,2021-11-19,2021-11-24
