stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,211.6300048828125,14,202.05999755859375,-133.9801025390625,2021-01-05,2021-01-26
TRV,128.22796630859375,22,135.2689666748047,154.90200805664062,2021-01-27,2021-02-09
NKE,135.77944946289062,22,128.22413635253906,-166.21688842773438,2021-02-10,2021-03-03
DIS,186.55848693847656,15,200.32986450195312,206.57066345214844,2021-03-04,2021-03-08
CRM,210.5950927734375,14,209.0718536376953,-21.325347900390625,2021-03-09,2021-03-30
TRV,139.20913696289062,21,144.06137084960938,101.89691162109375,2021-04-01,2021-04-22
CAT,214.49530029296875,14,226.14707946777344,163.12490844726562,2021-04-23,2021-05-10
CSCO,47.478084564208984,69,47.289363861083984,-13.021728515625,2021-05-11,2021-06-01
JNJ,150.4667205810547,21,147.2346954345703,-67.87252807617188,2021-06-02,2021-06-23
KO,48.9419059753418,65,50.786563873291016,119.90276336669922,2021-06-24,2021-07-15
HD,292.6835632324219,11,301.761474609375,99.85702514648438,2021-07-19,2021-08-09
VZ,45.40110397338867,75,45.00830078125,-29.46023941040039,2021-08-10,2021-08-31
CVX,84.24468994140625,40,85.94347381591797,67.95135498046875,2021-09-01,2021-09-22
CAT,184.26141357421875,18,182.11534118652344,-38.629302978515625,2021-09-23,2021-10-14
BA,217.0399932861328,15,224.4600067138672,111.30020141601562,2021-10-15,2021-11-05
MCD,235.0445098876953,15,232.44424438476562,-39.00398254394531,2021-11-08,2021-11-29
CVX,100.49730682373047,34,102.81230163574219,78.70982360839844,2021-11-30,2021-12-21
