stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,211.6300048828125,14,206.7899932861328,-67.76016235351562,2021-01-05,2021-01-11
MMM,117.98111724853516,24,132.2513885498047,342.48651123046875,2021-01-12,2021-01-27
MCD,188.80784606933594,17,194.86044311523438,102.89414978027344,2021-01-28,2021-02-17
AXP,122.52196502685547,27,130.71295166015625,221.1566390991211,2021-02-18,2021-02-25
TRV,133.74313354492188,26,144.94866943359375,291.34393310546875,2021-02-26,2021-03-18
INTC,57.99052810668945,67,57.73585891723633,-17.062835693359375,2021-03-19,2021-03-23
AMGN,218.1487274169922,17,221.95233154296875,64.66127014160156,2021-03-24,2021-03-30
WMT,42.98041534423828,91,44.54990005493164,142.8231086730957,2021-03-31,2021-04-20
DIS,181.677001953125,22,180.24826049804688,-31.43231201171875,2021-04-21,2021-05-11
TRV,142.10198974609375,28,148.70111083984375,184.775390625,2021-05-12,2021-06-01
JNJ,150.4667205810547,28,146.64617919921875,-106.97515869140625,2021-06-02,2021-06-18
MMM,140.4826202392578,29,143.91534423828125,99.54899597167969,2021-06-21,2021-07-12
CSCO,48.252532958984375,87,50.18010330200195,167.6986198425293,2021-07-13,2021-08-02
MMM,144.6709442138672,30,141.41815185546875,-97.58377075195312,2021-08-03,2021-08-18
BA,212.16000366210938,20,216.5,86.7999267578125,2021-08-19,2021-08-26
TRV,150.6516876220703,29,146.66444396972656,-115.63006591796875,2021-08-27,2021-09-07
MMM,136.2469482421875,31,132.2803955078125,-122.963134765625,2021-09-08,2021-09-14
MRK,66.70092010498047,62,74.5701904296875,487.89476013183594,2021-09-15,2021-10-01
GS,353.8607482910156,13,380.40423583984375,345.0653381347656,2021-10-05,2021-10-25
AXP,173.94683837890625,28,167.85220336914062,-170.6497802734375,2021-10-26,2021-10-28
JNJ,148.33729553222656,32,147.90013122558594,-13.9892578125,2021-10-29,2021-11-18
MMM,131.02491760253906,36,128.312744140625,-97.63824462890625,2021-11-19,2021-11-26
HD,375.3094787597656,12,375.3981018066406,1.0634765625,2021-11-29,2021-12-13
AAPL,171.5203399658203,27,169.4837188720703,-54.98876953125,2021-12-14,2021-12-16
BA,192.6300048828125,24,188.47999572753906,-99.6002197265625,2021-12-17,2021-12-20
