stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
DIS,176.28948974609375,17,172.07275390625,-71.68450927734375,2021-01-04,2021-01-14
DIS,170.09832763671875,17,170.54481506347656,7.5902862548828125,2021-01-15,2021-01-25
CAT,173.7211151123047,16,179.09393310546875,85.965087890625,2021-01-26,2021-02-05
INTC,53.8067741394043,56,56.81725311279297,168.58682250976562,2021-02-08,2021-02-16
AMGN,209.3861541748047,15,201.77001953125,-114.24201965332031,2021-02-17,2021-03-01
JNJ,143.07379150390625,21,143.5956268310547,10.958541870117188,2021-03-02,2021-03-12
VZ,44.54693603515625,69,45.94003677368164,96.12395095825195,2021-03-15,2021-03-25
MSFT,229.1123046875,13,241.31005859375,158.57080078125,2021-03-26,2021-04-05
GS,297.52056884765625,11,311.3932189941406,152.59915161132812,2021-04-06,2021-04-16
WBA,43.11095428466797,81,42.269412994384766,-68.16484451293945,2021-04-19,2021-04-29
IBM,114.64115905761719,29,119.42718505859375,138.7947540283203,2021-04-30,2021-05-10
CSCO,47.478084564208984,75,47.11860656738281,-26.96084976196289,2021-05-11,2021-05-21
CRM,225.9867706298828,15,229.81973266601562,57.49443054199219,2021-05-24,2021-06-03
BA,249.9199981689453,14,245.13999938964844,-66.91998291015625,2021-06-04,2021-06-14
BA,246.5399932861328,14,248.3800048828125,25.760162353515625,2021-06-15,2021-06-25
BA,239.9600067138672,14,236.77000427246094,-44.6600341796875,2021-06-28,2021-07-08
TRV,142.5098876953125,24,140.5859375,-46.1748046875,2021-07-09,2021-07-19
HON,213.76222229003906,16,217.60630798339844,61.50537109375,2021-07-20,2021-07-30
VZ,45.63023376464844,77,45.53203201293945,-7.561534881591797,2021-08-02,2021-08-12
WMT,47.676090240478516,73,47.96942138671875,21.41317367553711,2021-08-13,2021-08-23
TRV,149.3040008544922,23,147.93777465820312,-31.423202514648438,2021-08-24,2021-09-03
WBA,41.63283920288086,84,39.36344909667969,-190.62876892089844,2021-09-07,2021-09-14
MRK,66.70092010498047,49,67.20477294921875,24.68878936767578,2021-09-15,2021-09-27
MRK,67.16813659667969,49,74.5701904296875,362.7006378173828,2021-09-28,2021-10-01
MRK,76.12755584716797,48,71.75777435302734,-209.74951171875,2021-10-04,2021-10-14
BA,217.0399932861328,16,212.8699951171875,-66.719970703125,2021-10-15,2021-10-25
AXP,173.94683837890625,19,169.85169982910156,-77.80763244628906,2021-10-26,2021-11-05
MCD,235.0445098876953,14,235.3973846435547,4.94024658203125,2021-11-08,2021-11-18
MMM,131.02491760253906,25,128.831787109375,-54.82826232910156,2021-11-19,2021-11-29
CVX,100.49730682373047,32,105.36769104003906,155.852294921875,2021-11-30,2021-12-10
AMGN,192.24424743652344,17,202.4207763671875,173.00099182128906,2021-12-13,2021-12-16
BA,192.6300048828125,18,204.22000122070312,208.61993408203125,2021-12-17,2021-12-23
